Sample Checking,ISIN,Ticker,Quantity,Name,Last ClosePrice,Takara UMD 0408 LCP,Currency,Takara UMD 0408 CCY, Listed Exchange ,Section,Takara Prim Exchange,Market Cap USD,Takara UMD 0408 CUR_MKT_CAP,CUR_MKT_CAP in USD Million, Equity Shares Outstanding Mio ,Takara UMD 0408 EQY_SH_OUT,EQY_SH_OUT IN MIL, vol_260d_cal ,Takara UMD 0416 vol_260d_calc,3M Volume,Takara UMD 0408  VOLUME_AVG_3M,Average Traded Value_3M (USD),Takara UMD 0408  AVG_DAILY_VALUE_TRADED_3M,AVG_DAILY_VALUE_TRADED_3M in USD,HC Formula (%),HC Bucketing (%),HC mcap (%),"HC Max(HCmcap,formula) (%)",Penny stock penalty (if any),Full Equity Financing,Equity Financing up to LP10, Market Value USD , Full Equity Collateral Value USD , Collateral Value USD 
,US3580541049,FRSH US,500,FRESHWORKS INC-CL A,17.97,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"5,354 Million",,, 218.14 ,,, 46.00 ,,"2,565,312",,"54,546,056",,,21.5%,21.25%,26.5%,26.5%,26.5%,70%,70%," 8,985 "," 6,290 "," 6,290 "
,US3596641098,FLGT UQ,500,FULGENT GENETICS INC,21.73,,USD,, NASDAQ GM ,#N/A Field Not Applicable,UQ,647 Million,,, 29.78 ,,, 43.39 ,,"87,799",,"2,231,785",,,20.41%,52.75%,21.25%,52.75%,52.75%,45%,45%," 10,865 "," 4,889 "," 4,889 "
,US44486Q1031,HUMA US,"1,000",HUMACYTE INC,3.51,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,410 Million,,, 116.86 ,,, 91.75 ,,"837,091",,"2,878,429",,,38.3%,63.25%,42.25%,63.25%,94.75%,5%,5%," 3,510 ", 176 , 176 
,US46222L1089,IONQ UN,"2,000",IONQ INC,9.54,,USD,, New York ,#N/A Field Not Applicable,#N/A,"1,987 Million",,, 208.23 ,,, 90.32 ,,"1,263,608",,"14,204,524",,,37.83%,31.75%,42.25%,42.25%,52.75%,45%,45%," 19,080 "," 8,586 "," 8,586 "
,US47215P1066,JD US,871,JD.COM INC-ADR,27.85,,USD,, NASDAQ GS ,#N/A Field Not Applicable,#N/A,"43,767 Million",,," 1,378.32 ",,, 49.69 ,,"15,761,171",,"386,379,456",,,23.01%,21.25%,26.5%,26.5%,26.5%,70%,70%," 24,257 "," 16,980 "," 16,980 "
,US5007673065,KWEB UP,"1,984",KRANESHARES CSI CHINA INTERN,26.53,,USD,, NYSE Arca ,#N/A Field Not Applicable,UP,"5,555 Million",,, 209.40 ,,, 36.66 ,,"6,914,184",,"173,957,088",,,17.54%,21.25%,21.25%,21.25%,21.25%,75%,75%," 52,636 "," 39,477 "," 39,477 "
,US6792951054,OKTA UW,364,OKTA INC,105.88,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"17,724 Million",,, 160.11 ,,, 50.90 ,,"739,181",,"68,879,480",,,23.5%,21.25%,26.5%,26.5%,26.5%,70%,70%," 38,540 "," 26,978 "," 26,978 "
,IL0011859092,PGYWW UR,240,PAGAYA TECHNOLOGIES LTD -27,0.095,,USD,, NASDAQ CM ,#N/A Field Not Applicable,#N/A,,,, #N/A Field Not Applicable ,,, 178.44 ,,"22,281",,"3,473",,,60.9%,21.25%,63.25%,63.25%,73.75%,0%,0%, 23 , -   , -   
,US92556H2067,PARA UW,"2,500",PARAMOUNT GLOBAL-CLASS B,11.2,,USD,, NASDAQ GS ,#N/A Field Not Applicable,UW,"7,731 Million",,, 611.78 ,,, 60.77 ,,"4,780,400",,"62,339,352",,,27.37%,21.25%,31.75%,31.75%,31.75%,65%,65%," 28,000 "," 18,200 "," 18,200 "
,CA82509L1076,SHOP US,224,SHOPIFY INC - CLASS A,77.52,,USD,, New York ,#N/A Field Not Applicable,CT,"99,502 Million",,," 1,207.89 ",,, 54.08 ,,"10,097,519",,"801,078,400",,,24.77%,21.25%,26.5%,26.5%,26.5%,70%,70%," 17,364 "," 12,155 "," 12,155 "
